index_id;index;read;hit;data_hora
4160;pg_toast_2600_index;0;0;2021-10-09T16:05:19.243078600
2831;pg_toast_2604_index;0;0;2021-10-09T16:05:19.243078600
4162;pg_toast_3456_index;0;0;2021-10-09T16:05:19.243577300
2833;pg_toast_2606_index;0;0;2021-10-09T16:05:19.243577300
4144;pg_toast_826_index;0;0;2021-10-09T16:05:19.243577300
2835;pg_toast_2609_index;0;0;2021-10-09T16:05:19.243577300
4146;pg_toast_3466_index;0;0;2021-10-09T16:05:19.243577300
4148;pg_toast_3079_index;0;0;2021-10-09T16:05:19.244077600
4150;pg_toast_2328_index;0;0;2021-10-09T16:05:19.244077600
4152;pg_toast_1417_index;0;0;2021-10-09T16:05:19.244077600
4154;pg_toast_3118_index;0;0;2021-10-09T16:05:19.244077600
4156;pg_toast_3394_index;0;0;2021-10-09T16:05:19.244077600
4158;pg_toast_2612_index;0;0;2021-10-09T16:05:19.244077600
4164;pg_toast_2615_index;0;0;2021-10-09T16:05:19.244077600
4166;pg_toast_3350_index;0;0;2021-10-09T16:05:19.244077600
4168;pg_toast_3256_index;0;0;2021-10-09T16:05:19.244077600
2837;pg_toast_1255_index;0;0;2021-10-09T16:05:19.244077600
2682;pg_language_oid_index;0;0;2021-10-09T16:05:19.244577700
2683;pg_largeobject_loid_pn_index;0;0;2021-10-09T16:05:19.244577700
2996;pg_largeobject_metadata_oid_index;0;0;2021-10-09T16:05:19.244577700
2754;pg_opfamily_am_name_nsp_index;0;0;2021-10-09T16:05:19.244577700
2755;pg_opfamily_oid_index;0;0;2021-10-09T16:05:19.244577700
2692;pg_rewrite_oid_index;0;0;2021-10-09T16:05:19.244577700
5002;pg_sequence_seqrelid_index;0;0;2021-10-09T16:05:19.244577700
3380;pg_statistic_ext_oid_index;0;0;2021-10-09T16:05:19.244577700
3997;pg_statistic_ext_name_index;0;0;2021-10-09T16:05:19.244577700
3433;pg_statistic_ext_data_stxoid_index;0;0;2021-10-09T16:05:19.245078
3574;pg_transform_oid_index;0;0;2021-10-09T16:05:19.245078
3575;pg_transform_type_lang_index;0;0;2021-10-09T16:05:19.245078
2699;pg_trigger_tgconstraint_index;0;0;2021-10-09T16:05:19.245078
2701;pg_trigger_tgrelid_tgname_index;0;0;2021-10-09T16:05:19.245078
2702;pg_trigger_oid_index;0;0;2021-10-09T16:05:19.245078
3468;pg_event_trigger_oid_index;0;0;2021-10-09T16:05:19.245078
3608;pg_ts_config_cfgname_index;0;0;2021-10-09T16:05:19.245078
3712;pg_ts_config_oid_index;0;0;2021-10-09T16:05:19.245578100
3609;pg_ts_config_map_index;0;0;2021-10-09T16:05:19.245578100
16397;endereco_pkey;0;0;2021-10-09T16:05:19.245578100
3605;pg_ts_dict_oid_index;0;0;2021-10-09T16:05:19.245578100
3606;pg_ts_parser_prsname_index;0;0;2021-10-09T16:05:19.245578100
3607;pg_ts_parser_oid_index;0;0;2021-10-09T16:05:19.245578100
3766;pg_ts_template_tmplname_index;0;0;2021-10-09T16:05:19.245578100
3767;pg_ts_template_oid_index;0;0;2021-10-09T16:05:19.245578100
112;pg_foreign_data_wrapper_oid_index;0;0;2021-10-09T16:05:19.245578100
548;pg_foreign_data_wrapper_name_index;0;0;2021-10-09T16:05:19.246077900
113;pg_foreign_server_oid_index;0;0;2021-10-09T16:05:19.246077900
549;pg_foreign_server_name_index;0;0;2021-10-09T16:05:19.246077900
174;pg_user_mapping_oid_index;0;0;2021-10-09T16:05:19.246077900
175;pg_user_mapping_user_server_index;0;0;2021-10-09T16:05:19.246077900
3119;pg_foreign_table_relid_index;0;0;2021-10-09T16:05:19.246077900
3597;pg_seclabel_object_index;0;0;2021-10-09T16:05:19.246077900
3080;pg_extension_oid_index;0;0;2021-10-09T16:05:19.246577800
3081;pg_extension_name_index;0;0;2021-10-09T16:05:19.246577800
3542;pg_range_rngtypid_index;0;0;2021-10-09T16:05:19.246577800
3257;pg_policy_oid_index;0;0;2021-10-09T16:05:19.246577800
3258;pg_policy_polrelid_polname_index;0;0;2021-10-09T16:05:19.246577800
6001;pg_replication_origin_roiident_index;0;0;2021-10-09T16:05:19.246577800
6002;pg_replication_origin_roname_index;0;0;2021-10-09T16:05:19.246577800
3351;pg_partitioned_table_partrelid_index;0;0;2021-10-09T16:05:19.246577800
6110;pg_publication_oid_index;0;0;2021-10-09T16:05:19.246577800
6111;pg_publication_pubname_index;0;0;2021-10-09T16:05:19.247078
6112;pg_publication_rel_oid_index;0;0;2021-10-09T16:05:19.247078
6113;pg_publication_rel_prrelid_prpubid_index;0;0;2021-10-09T16:05:19.247078
6114;pg_subscription_oid_index;0;0;2021-10-09T16:05:19.247078
6115;pg_subscription_subname_index;0;0;2021-10-09T16:05:19.247078
6117;pg_subscription_rel_srrelid_srsubid_index;0;0;2021-10-09T16:05:19.247078
13306;pg_toast_13302_index;0;0;2021-10-09T16:05:19.247078
13311;pg_toast_13307_index;0;0;2021-10-09T16:05:19.247078
13296;pg_toast_13292_index;0;0;2021-10-09T16:05:19.247078
13301;pg_toast_13297_index;0;0;2021-10-09T16:05:19.247078
3599;pg_toast_3596_index;0;0;2021-10-09T16:05:19.247078
3440;pg_toast_3381_index;0;0;2021-10-09T16:05:19.247578200
3431;pg_toast_3429_index;0;0;2021-10-09T16:05:19.247578200
2337;pg_toast_2620_index;0;0;2021-10-09T16:05:19.247578200
4170;pg_toast_3600_index;0;0;2021-10-09T16:05:19.247578200
4172;pg_toast_1247_index;0;0;2021-10-09T16:05:19.247578200
4174;pg_toast_1418_index;0;0;2021-10-09T16:05:19.247578200
4176;pg_toast_1260_index;0;0;2021-10-09T16:05:19.247578200
4178;pg_toast_1262_index;0;0;2021-10-09T16:05:19.247578200
2967;pg_toast_2964_index;0;0;2021-10-09T16:05:19.247578200
4182;pg_toast_6000_index;0;0;2021-10-09T16:05:19.247578200
2847;pg_toast_2396_index;0;0;2021-10-09T16:05:19.247578200
4061;pg_toast_3592_index;0;0;2021-10-09T16:05:19.248078200
4184;pg_toast_6100_index;0;0;2021-10-09T16:05:19.248078200
4186;pg_toast_1213_index;0;0;2021-10-09T16:05:19.248078200
2651;pg_am_name_index;0;0;2021-10-09T16:05:19.248078200
2652;pg_am_oid_index;0;0;2021-10-09T16:05:19.248078200
2756;pg_amop_oid_index;0;0;2021-10-09T16:05:19.248078200
2757;pg_amproc_oid_index;0;0;2021-10-09T16:05:19.248078200
2660;pg_cast_oid_index;0;0;2021-10-09T16:05:19.248078200
3164;pg_collation_name_enc_nsp_index;0;0;2021-10-09T16:05:19.248078200
3085;pg_collation_oid_index;0;0;2021-10-09T16:05:19.248078200
2668;pg_conversion_default_index;0;0;2021-10-09T16:05:19.248078200
2669;pg_conversion_name_nsp_index;0;0;2021-10-09T16:05:19.248578300
2670;pg_conversion_oid_index;0;0;2021-10-09T16:05:19.248578300
2675;pg_description_o_c_o_index;0;0;2021-10-09T16:05:19.248578300
3502;pg_enum_oid_index;0;0;2021-10-09T16:05:19.248578300
3503;pg_enum_typid_label_index;0;0;2021-10-09T16:05:19.248578300
3534;pg_enum_typid_sortorder_index;0;0;2021-10-09T16:05:19.248578300
2680;pg_inherits_relid_seqno_index;0;0;2021-10-09T16:05:19.248578300
2187;pg_inherits_parent_index;0;0;2021-10-09T16:05:19.248578300
3395;pg_init_privs_o_c_o_index;0;0;2021-10-09T16:05:19.248578300
2681;pg_language_name_index;0;0;2021-10-09T16:05:19.248578300
2965;pg_db_role_setting_databaseid_rol_index;1;2427;2021-10-09T16:05:19.249078400
3379;pg_statistic_ext_relid_index;1;163;2021-10-09T16:05:19.249078400
3455;pg_class_tblspc_relfilenode_index;1;14;2021-10-09T16:05:19.249078400
827;pg_default_acl_role_nsp_obj_index;1;7;2021-10-09T16:05:19.249078400
2695;pg_auth_members_member_role_index;1;4;2021-10-09T16:05:19.249078400
828;pg_default_acl_oid_index;1;3;2021-10-09T16:05:19.249078400
3593;pg_shseclabel_object_index;1;2;2021-10-09T16:05:19.249078400
2674;pg_depend_reference_index;1;0;2021-10-09T16:05:19.249078400
2397;pg_shdescription_o_c_index;1;0;2021-10-09T16:05:19.249078400
3467;pg_event_trigger_evtname_index;1;0;2021-10-09T16:05:19.249078400
2698;pg_tablespace_spcname_index;1;0;2021-10-09T16:05:19.249078400
2656;pg_attrdef_adrelid_adnum_index;1;0;2021-10-09T16:05:19.249578600
2657;pg_attrdef_oid_index;1;0;2021-10-09T16:05:19.249578600
2658;pg_attribute_relid_attnam_index;1;0;2021-10-09T16:05:19.249578600
2664;pg_constraint_conname_nsp_index;1;0;2021-10-09T16:05:19.249578600
2665;pg_constraint_conrelid_contypid_conname_index;1;0;2021-10-09T16:05:19.249578600
2666;pg_constraint_contypid_index;1;0;2021-10-09T16:05:19.249578600
